Date,SPY US Equity,80,90,95,97.5,100,102.5,105,110,120,Dividends,USGG1M Index,Spot
2005-02-08,120.21,15.8795,15.8795,13.6933,12.2905,10.7053,10.4025,10.1467,9.6146,9.546813,0.01889659723558419,2.264058,120.21
2005-02-09,119.31,16.30338,16.3034,14.0998,12.7075,11.1426,10.7114,10.2795,9.3561,9.2485,0.01903914134347142,2.284248,119.31
2005-02-10,119.74,16.57281,16.5728,14.1194,12.5428,10.7372,10.4138,10.1096,9.4719,9.397375,0.018970769614912102,2.335974,119.74
2005-02-11,120.77,16.4605,16.4605,13.8744,12.2451,10.4324,10.0836,9.7223,8.9562,8.891375,0.01880897535554836,2.345696,120.77
2005-02-14,120.68,16.53419,16.5342,14.0837,12.5052,10.6963,10.3129,9.9508,9.1837,9.0915,0.01882300259935014,2.335376,120.68
2005-02-15,121.13,15.97888,15.9789,13.6044,12.098,10.3882,10.0752,9.752,9.0713,9.001313,0.0187530748261337,2.335227,121.13
2005-02-16,121.21,15.45031,15.4503,13.2109,11.7919,10.1808,9.8279,9.4619,8.6835,8.600313,0.01874069758014665,2.335077,121.21
2005-02-17,120.23,16.59063,16.5906,14.0786,12.4679,10.6156,10.2593,9.8998,9.1385,9.053688,0.01889345382757694,2.386846,120.23
2005-02-18,120.39,16.09431,16.0943,13.6136,12.0174,10.1738,9.8317,9.4876,8.7589,8.677688,0.018868344162219247,2.376052,120.39
2005-02-22,118.6,18.51831,18.5183,15.5886,13.7302,11.6407,11.3769,11.1068,10.5459,10.49588,0.019153119339709743,2.38591,118.6
2005-02-23,119.45,17.15769,17.1577,14.5459,12.9053,11.0836,10.7444,10.3941,9.6553,9.590875,0.019016826736622645,2.38591,119.45
2005-02-24,120.24,16.44131,16.4413,13.8677,12.2182,10.3209,10.0549,9.7816,9.2108,9.152,0.018891882515715032,2.385754,120.24
2005-02-25,121.43,15.62319,15.6232,13.244,11.7552,10.1171,9.873,9.6226,9.1013,9.0585,0.01870674424515832,2.488092,121.43
2005-02-28,120.63,16.84663,16.8466,14.3083,12.706,10.9094,10.6645,10.4138,9.8934,9.844688,0.01883080455682314,2.477751,120.63
2005-03-01,121.23,16.58313,16.5831,14.2148,12.6879,10.9502,10.5572,10.2054,9.4628,9.368,0.018737605821080385,2.457245,121.23
2005-03-02,121.17,16.69269,16.6927,14.3672,12.9166,11.3093,10.9455,10.5692,9.7731,9.6965,0.01874688416018466,2.45708,121.17
2005-03-03,121.22,16.49119,16.4912,14.2463,12.8691,11.3877,11.1002,10.8051,10.1893,10.1395,0.018739151573086744,2.529307,121.22
2005-03-04,122.73,15.94513,15.9451,13.5816,12.1578,10.7025,10.4521,10.1955,9.662,9.637875,0.018508595727935916,2.538954,122.73
2005-03-07,122.79,16.649,16.649,14.1756,12.6119,10.8506,10.6391,10.4233,9.9778,9.934375,0.0184995517036369,2.548949,122.79
2005-03-08,122.33,16.16869,16.1687,13.8385,12.414,10.9073,10.668,10.4232,9.9154,9.881625,0.01856911594612585,2.558941,122.33
2005-03-09,120.97,17.33213,17.3321,14.665,13.06,11.442,11.2161,10.9856,10.5095,10.49231,0.018777878430103128,2.548593,120.97
2005-03-10,121.24,16.62263,16.6226,14.2997,12.8578,11.279,11.0532,10.8227,10.3463,10.30413,0.01873606032406446,2.580193,121.24
2005-03-11,120.39,16.96288,16.9629,14.6016,13.1428,11.5585,11.3081,11.052,10.5212,10.47638,0.018868344162219247,2.579646,120.39
2005-03-14,121.14,16.76,16.76,14.3005,12.8422,11.394,11.0938,10.7854,10.1403,10.12169,0.018751526776370937,2.579464,121.14
2005-03-15,120.14,17.26069,17.2607,14.8342,13.3556,11.7968,11.5627,11.3237,10.83,10.79681,0.018907607405440112,2.630135,120.14
2005-03-16,119.12,17.65619,17.6562,15.1393,13.628,12.1036,12.0337,11.9634,11.8214,11.81469,0.019069509349308053,2.609607,119.12
2005-03-17,119.36,17.64513,17.6451,15.0941,13.5692,12.048,11.9402,11.8314,11.6107,11.60181,0.019031165831849658,2.661619,119.36
2005-03-18,119.00709,18.05531,18.0553,15.5123,13.8224,11.8949,11.5447,11.3724,11.0195,10.96381,0.0174621224745301,2.681386,118.54
2005-03-21,118.5653562426185,18.0535,18.0535,15.6559,14.0665,12.2729,11.8425,11.5855,11.0537,10.96519,0.01752718033980354,2.691362,118.1
2005-03-22,117.3606278133963,18.94081,18.9408,16.3365,14.6314,12.6994,12.307,12.0444,11.5013,11.42088,0.017707100069553446,2.67082,116.9
2005-03-23,117.4610218491648,19.23,19.23,16.4789,14.6679,12.5992,12.2127,11.9657,11.4558,11.381,0.017691965795989726,2.670625,117.0
2005-03-24,117.6015734992408,18.07712,18.0771,15.5258,13.8319,11.8992,11.6195,11.5225,11.326,11.2955,0.017670821223585435,2.671211,117.14
2005-03-28,117.7722433600472,18.1695,18.1695,15.6862,14.0388,12.1704,11.8667,11.7515,11.5177,11.48031,0.017645213520849013,2.660649,117.31
2005-03-29,116.9891698810528,18.3115,18.3115,15.977,14.467,12.7798,12.463,12.2589,11.8401,11.77888,0.017763322733466043,2.67082,116.53
2005-03-30,118.6456714712333,17.25513,17.2551,15.0028,13.553,11.9281,11.7298,11.6241,11.4098,11.38063,0.01751531560442374,2.670625,118.18
2005-03-31,118.4248045925426,17.72481,17.7247,15.4432,13.9618,12.3033,11.947,11.7044,11.2033,11.12838,0.017547982351057968,2.610727,117.96
2005-04-01,117.8927162029695,17.998,17.998,15.7396,14.2397,12.5619,12.1,11.8223,11.2464,11.14438,0.017627182135151135,2.630514,117.43
2005-04-04,118.0935042745065,17.69869,17.6987,15.4754,14.0534,12.4704,12.0899,11.7781,11.1284,11.0385,0.017597211579790852,2.620152,117.63
